2017-11-03 05:20:09,961 | app | WARNING | [WARNING] '59' chips are defective on miner '192.168.2.167'.
2017-11-05 06:59:59,471 | app | WARNING | [WARNING] '288' chips are defective on miner '192.168.2.119'.
2017-11-05 06:59:59,545 | app | WARNING | [WARNING] '288' chips are defective on miner '192.168.2.120'.
2017-11-05 06:59:59,578 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.167'.
2017-11-05 07:14:44,476 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.167'.
2017-11-05 07:14:55,542 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.167'.
2017-11-05 07:15:02,696 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.167'.
2017-11-05 07:15:07,769 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.167'.
2017-11-11 07:00:30,334 | app | WARNING | [WARNING] '59' chips are defective on miner '192.168.2.16'.
2017-11-18 19:44:11,651 | app | WARNING | [WARNING] '59' chips are defective on miner '192.168.2.16'.
2017-11-18 19:44:18,234 | app | WARNING | [WARNING] '59' chips are defective on miner '192.168.2.16'.
2017-11-20 00:51:41,384 | app | WARNING | [WARNING] '17' chips are defective on miner '192.168.2.16'.
2017-11-20 00:52:00,466 | app | WARNING | [WARNING] '17' chips are defective on miner '192.168.2.16'.
2017-11-20 00:52:01,431 | app | WARNING | [WARNING] '17' chips are defective on miner '192.168.2.16'.
2017-11-20 00:52:02,482 | app | WARNING | [WARNING] '17' chips are defective on miner '192.168.2.16'.
2017-11-20 19:25:44,183 | app | WARNING | [WARNING] '59' chips are defective on miner '192.168.2.16'.
2017-12-06 19:40:42,312 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.16'.
2017-12-06 19:41:55,493 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.16'.
2017-12-06 19:41:59,983 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.16'.
2017-12-06 19:42:04,631 | app | WARNING | [WARNING] High temperatures on miner '192.168.2.16'.
2017-12-07 04:57:13,444 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.16'.
2017-12-07 07:13:16,509 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.16'.
2017-12-07 22:07:40,607 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.16'.
2017-12-11 12:02:16,267 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.16'.
2017-12-19 19:47:14,592 | app | WARNING | [WARNING] '180' chips are defective on miner '192.168.2.16'.
2017-12-21 04:32:00,489 | app | WARNING | [WARNING] '288' chips are defective on miner '192.168.2.17'.
2017-12-21 04:32:08,384 | app | WARNING | [WARNING] '288' chips are defective on miner '192.168.2.17'.
